145,118,232,208,1.000000
145,118,232,208,0.995457
145,118,232,208,0.984751
145,118,232,208,0.983774
145,118,232,208,0.986022
145,118,232,208,0.992042
146,118,233,208,0.938771
147,118,234,208,0.810283
147,118,234,208,0.843453
148,118,235,207,0.722263
148,118,235,207,0.742374
148,118,235,207,0.761085
148,118,235,207,0.767941
148,118,235,207,0.742979
147,118,234,207,0.878459
147,118,234,207,0.889546
147,118,234,207,0.881396
147,118,234,207,0.868605
146,118,233,207,0.902898
145,118,232,207,0.828837
141,117,226,204,0.818846
135,117,218,202,0.881706
120,115,202,199,0.863459
112,115,192,197,0.661493
103,115,183,197,0.648340
88,116,168,198,0.704392
80,117,159,198,0.702913
72,119,150,199,0.709650
69,119,146,199,0.748854
69,118,145,197,0.760243
76,113,152,192,0.739820
90,107,164,185,0.642327
107,100,181,178,0.720020
117,95,191,173,0.728466
132,89,207,168,0.762128
140,84,217,165,0.752434
148,78,225,159,0.647331
151,76,227,156,0.612653
148,77,224,157,0.612466
143,78,218,157,0.597387
136,79,210,157,0.598577
126,82,198,158,0.595132
119,84,189,158,0.587808
118,87,187,159,0.568984
121,91,189,162,0.578264
129,99,195,167,0.571299
133,101,197,167,0.565853
139,100,203,166,0.583027
143,102,207,168,0.609923
149,104,212,169,0.611176
152,100,216,166,0.585587
154,101,218,167,0.572792
155,98,220,165,0.517232
156,98,222,167,0.513811
156,99,222,168,0.530900
155,100,221,169,0.552322
154,101,221,171,0.564396
154,102,221,172,0.562176
153,104,221,175,0.553155
153,106,220,176,0.467770
153,109,219,178,0.407527
152,111,219,181,0.411183
151,112,218,182,0.477187
146,111,213,181,0.564467
141,110,208,179,0.609069
139,110,206,179,0.686656
139,108,207,179,0.668772
142,105,212,178,0.697413
144,102,216,178,0.697518
148,98,223,177,0.706999
152,95,229,176,0.682293
157,91,236,175,0.680073
160,88,241,175,0.657107
159,86,241,173,0.669174
152,84,235,172,0.687486
147,86,228,171,0.681691
134,89,213,172,0.688303
117,92,196,175,0.643170
102,96,179,176,0.719560
88,98,164,176,0.742191
80,100,155,177,0.700969
77,102,151,178,0.714134
78,103,151,178,0.711425
81,103,154,178,0.725185
89,102,162,177,0.726455
102,99,176,176,0.696133
116,97,191,175,0.692758
129,95,205,174,0.653360
141,93,218,174,0.637634
152,91,230,173,0.668325
158,91,237,174,0.768214
161,91,239,173,0.765397
157,91,235,173,0.810303
149,91,227,173,0.766270
133,90,212,173,0.765031
124,90,204,173,0.690773
114,91,193,173,0.634701
106,91,186,174,0.679800
101,92,180,174,0.676038
102,93,180,174,0.688564
109,93,186,173,0.664296
117,91,196,173,0.717041
128,91,207,173,0.757829
143,90,223,173,0.787496
159,90,239,172,0.772008
169,90,248,171,0.761446
172,89,252,171,0.698317
175,89,254,171,0.590807
174,89,252,170,0.582747
170,90,248,171,0.527233
161,90,239,171,0.550278
152,90,230,171,0.572268
143,90,222,172,0.638700
132,92,211,174,0.607385
126,92,205,174,0.683818
122,91,202,174,0.714030
119,92,198,174,0.657889
118,92,197,174,0.688424
120,92,199,174,0.667317
121,92,200,174,0.696585
122,92,201,174,0.672622
124,92,203,174,0.678647
126,92,204,173,0.699699
128,92,206,173,0.716192
130,93,207,173,0.721708
131,93,207,172,0.727600
130,93,206,172,0.718007
130,93,206,172,0.706567
130,93,206,172,0.711800
130,93,206,172,0.712601
129,93,205,172,0.701118
128,92,204,171,0.722775
128,92,204,171,0.705931
128,92,204,171,0.709492
128,92,204,171,0.704364
128,92,204,171,0.692813
128,92,204,171,0.677802
128,93,204,172,0.656839
128,94,204,173,0.667165
128,94,204,173,0.645039
129,93,205,172,0.675064
131,93,208,173,0.680952
139,93,215,172,0.710641
145,93,222,173,0.760478
150,92,228,173,0.768863
156,92,233,172,0.790007
160,92,237,172,0.760699
164,91,241,171,0.745054
163,90,241,171,0.733011
158,90,236,171,0.747578
150,90,227,170,0.773330
138,91,214,170,0.777275
125,92,201,171,0.738732
110,95,185,173,0.663514
100,96,174,173,0.756575
94,98,166,173,0.699581
91,98,162,172,0.728849
95,98,165,171,0.738519
106,96,178,171,0.744151
114,95,186,170,0.689603
132,94,205,170,0.815554
147,92,221,169,0.810251
161,91,235,168,0.674392
175,91,249,169,0.553162
181,91,256,170,0.532208
182,91,258,171,0.513850
178,91,254,171,0.531227
170,90,246,170,0.558720
155,88,232,168,0.671560
142,89,218,168,0.681971
122,90,197,168,0.743759
113,91,189,170,0.740612
102,92,179,172,0.751419
94,93,170,172,0.763990
86,94,162,173,0.820681
84,94,161,174,0.761580
85,93,162,173,0.763042
87,92,165,173,0.710774
93,92,171,173,0.765624
101,91,179,173,0.823681
110,90,189,173,0.772595
122,90,201,173,0.758706
128,90,207,172,0.804643
134,90,213,172,0.802584
139,90,217,171,0.801482
141,90,219,171,0.857035
141,90,218,170,0.852866
141,91,217,170,0.823878
139,91,215,170,0.822558
136,91,213,171,0.776039
135,91,212,171,0.787848
135,92,212,172,0.793036
134,92,212,173,0.777204
133,92,211,173,0.748017
127,91,206,173,0.733154
123,92,200,172,0.541267
121,92,197,171,0.520198
121,92,197,171,0.556211
121,92,198,172,0.608328
123,92,201,173,0.682820
130,92,209,174,0.711468
136,92,215,174,0.618028
139,93,216,173,0.587447
139,93,216,173,0.570825
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
127,82,214,172,0.617736
117,82,206,175,0.494645
115,82,205,176,0.505473
116,81,208,176,0.513255
116,81,208,176,0.528872
116,81,208,176,0.537198
117,81,209,176,0.580114
118,81,210,176,0.605508
119,81,211,176,0.622807
